sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src
충청남도,보령,98993,36.3331629,126.61294409999999,충청남도 보령,34,5,https://tong.visitkorea.or.kr/cms/resource/32/218932_image2_1.jpg
충청남도,아산,320340,36.789796,127.0018494,충청남도 아산,34,9,https://tong.visitkorea.or.kr/cms/resource/59/2366359_image2_1.jpg
충청남도,서산,176090,36.78449929999999,126.4503169,충청남도 서산,34,7,https://tong.visitkorea.or.kr/cms/resource/81/2671481_image2_1.jpg
충청남도,논산,115305,36.187065600000004,127.0987453,충청남도 논산,34,3,https://tong.visitkorea.or.kr/cms/resource/97/1600297_image2_1.jpg
충청남도,계룡,43168,36.2745577,127.24858959999999,충청남도 계룡,34,16,https://tong.visitkorea.or.kr/cms/resource/77/1278277_image2_1.jpg
충청남도,금산,50890,36.10869279999999,127.48807120000001,충청남도 금산,34,2,https://tong.visitkorea.or.kr/cms/resource/96/2548096_image2_1.jpg
충청남도,부여,64361,36.2754406,126.910178,충청남도 부여,34,6,https://tong.visitkorea.or.kr/cms/resource/33/2366333_image2_1.jpg
충청남도,서천,51153,36.0803312,126.6913277,충청남도 서천,34,8,https://tong.visitkorea.or.kr/cms/resource/05/1870705_image2_1.jpg
충청남도,청양,30548,36.4588326,126.80221159999999,충청남도 청양,34,13,https://tong.visitkorea.or.kr/cms/resource/08/607708_image2_1.jpg
충청남도,홍성,99440,36.60123,126.6607764,충청남도 홍성,34,15,https://tong.visitkorea.or.kr/cms/resource/39/1962039_image2_1.jpg
충청남도,예산,77348,36.682612299999995,126.84839509999999,충청남도 예산,34,11,https://tong.visitkorea.or.kr/cms/resource/85/2357885_image2_1.jpg
충청남도,태안,61867,36.74564210000001,126.2980528,충청남도 태안,34,14,https://tong.visitkorea.or.kr/cms/resource/75/2426575_image2_1.jpg
전라북도,전주,657428,35.8242238,127.14795320000002,전라북도 전주,37,12,https://tong.visitkorea.or.kr/cms/resource/67/2654567_image2_1.jpg
전라북도,군산,266389,35.96767720000001,126.7366293,전라북도 군산,37,2,https://tong.visitkorea.or.kr/cms/resource/56/2649956_image2_1.jpg
전라북도,익산,280072,35.948285799999994,126.9575991,전라북도 익산,37,9,https://tong.visitkorea.or.kr/cms/resource/98/2514998_image2_1.jpg
전라북도,정읍,107422,35.5698855,126.8558955,전라북도 정읍,37,13,https://tong.visitkorea.or.kr/cms/resource/25/2616825_image2_1.jpg
전라북도,남원,80032,35.416357,127.39048770000001,전라북도 남원,37,4,https://tong.visitkorea.or.kr/cms/resource/54/1976054_image2_1.jpg
전라북도,김제,81462,35.803607899999996,126.8808872,전라북도 김제,37,3,https://tong.visitkorea.or.kr/cms/resource/15/197015_image2_1.jpg
전라북도,완주,91024,35.891275,127.253895,전라북도 완주,37,8,https://tong.visitkorea.or.kr/cms/resource/52/609052_image2_1.jpg
전라북도,진안,25181,35.79172970000001,127.4248356,전라북도 진안,37,14,https://tong.visitkorea.or.kr/cms/resource/75/219375_image2_1.jpg
전라북도,무주,23875,36.0068191,127.66078049999999,전라북도 무주,37,5,https://tong.visitkorea.or.kr/cms/resource/31/219131_image2_1.jpg
전라북도,장수,21880,35.647276700000006,127.5211363,전라북도 장수,37,11,https://tong.visitkorea.or.kr/cms/resource/33/798833_image2_1.jpg
전라북도,임실,27009,35.6110549,127.28265990000001,전라북도 임실,37,10,https://tong.visitkorea.or.kr/cms/resource/74/2671574_image2_1.jpg
전라북도,순창,27283,35.3744136,127.13759679999998,전라북도 순창,37,7,https://tong.visitkorea.or.kr/cms/resource/95/2634995_image2_1.JPG
전라북도,고창,53869,35.43582160000001,126.70208059999999,전라북도 고창,37,1,https://tong.visitkorea.or.kr/cms/resource/75/2513775_image2_1.jpg
전라북도,부안,51419,35.7315661,126.73346509999999,전라북도 부안,37,6,https://tong.visitkorea.or.kr/cms/resource/73/2514273_image2_1.jpg
전라남도,목포,220794,34.8118351,126.39216640000001,전라남도 목포,38,8,https://tong.visitkorea.or.kr/cms/resource/11/2497011_image2_1.jpeg
전라남도,여수,278481,34.7603737,127.6622221,전라남도 여수,38,13,https://tong.visitkorea.or.kr/cms/resource/75/2367375_image2_1.jpg
전라남도,순천,281816,34.950637,127.4872135,전라남도 순천,38,11,https://tong.visitkorea.or.kr/cms/resource/49/2653949_image2_1.jpg
