,0,1
3014,"('경상남도', '진주')","('경상북도', '예천')"
3015,"('경상북도', '예천')","('경상남도', '진주')"
3016,"('경상남도', '진주')","('충청남도', '아산')"
3017,"('충청남도', '아산')","('경상남도', '진주')"
3018,"('경상남도', '진주')","('충청북도', '괴산')"
3019,"('충청북도', '괴산')","('경상남도', '진주')"
3020,"('경상남도', '진주')","('전라남도', '고흥')"
3021,"('전라남도', '고흥')","('경상남도', '진주')"
3022,"('경상남도', '진주')","('세종특별자치시', '세종')"
3023,"('세종특별자치시', '세종')","('경상남도', '진주')"
3024,"('경상남도', '진주')","('충청북도', '보은')"
3025,"('충청북도', '보은')","('경상남도', '진주')"
3026,"('경상남도', '진주')","('충청북도', '충주')"
3027,"('충청북도', '충주')","('경상남도', '진주')"
3028,"('경상남도', '진주')","('경상북도', '김천')"
3029,"('경상북도', '김천')","('경상남도', '진주')"
3030,"('경상남도', '진주')","('경상북도', '상주')"
3031,"('경상북도', '상주')","('경상남도', '진주')"
3032,"('경상남도', '진주')","('전라북도', '군산')"
3033,"('전라북도', '군산')","('경상남도', '진주')"
3034,"('경상남도', '진주')","('전라남도', '강진')"
3035,"('전라남도', '강진')","('경상남도', '진주')"
3036,"('경상남도', '진주')","('전라북도', '고창')"
3037,"('전라북도', '고창')","('경상남도', '진주')"
3038,"('경상남도', '진주')","('강원도', '춘천')"
3039,"('강원도', '춘천')","('경상남도', '진주')"
3040,"('경상남도', '진주')","('서울', '서울')"
3041,"('서울', '서울')","('경상남도', '진주')"
3042,"('경기도', '안산')","('전라남도', '목포')"
3043,"('전라남도', '목포')","('경기도', '안산')"
3044,"('경기도', '안산')","('전라북도', '익산')"
3045,"('전라북도', '익산')","('경기도', '안산')"
3046,"('경기도', '안산')","('전라북도', '김제')"
3047,"('전라북도', '김제')","('경기도', '안산')"
3048,"('경기도', '안산')","('울산', '울산')"
3049,"('울산', '울산')","('경기도', '안산')"
3050,"('경기도', '안산')","('대구', '대구')"
3051,"('대구', '대구')","('경기도', '안산')"
3052,"('경기도', '안산')","('전라북도', '순창')"
3053,"('전라북도', '순창')","('경기도', '안산')"
3054,"('경기도', '안산')","('전라북도', '전주')"
3055,"('전라북도', '전주')","('경기도', '안산')"
3056,"('경기도', '안산')","('전라남도', '진도')"
3057,"('전라남도', '진도')","('경기도', '안산')"
3058,"('경기도', '안산')","('경기도', '시흥')"
3059,"('경기도', '시흥')","('경기도', '안산')"
3060,"('경기도', '안산')","('경기도', '평택')"
3061,"('경기도', '평택')","('경기도', '안산')"
3062,"('경기도', '안산')","('강원도', '영월')"
3063,"('강원도', '영월')","('경기도', '안산')"
3064,"('경기도', '안산')","('인천', '인천')"
3065,"('인천', '인천')","('경기도', '안산')"
3066,"('경기도', '안산')","('경기도', '여주')"
3067,"('경기도', '여주')","('경기도', '안산')"
3068,"('경기도', '안산')","('경상남도', '창원')"
3069,"('경상남도', '창원')","('경기도', '안산')"
3070,"('경기도', '안산')","('전라남도', '광양')"
3071,"('전라남도', '광양')","('경기도', '안산')"
3072,"('경기도', '안산')","('경상남도', '통영')"
3073,"('경상남도', '통영')","('경기도', '안산')"
3074,"('경기도', '안산')","('전라남도', '함평')"
3075,"('전라남도', '함평')","('경기도', '안산')"
3076,"('경기도', '안산')","('경기도', '이천')"
3077,"('경기도', '이천')","('경기도', '안산')"
3078,"('경기도', '안산')","('전라남도', '곡성')"
3079,"('전라남도', '곡성')","('경기도', '안산')"
3080,"('경기도', '안산')","('경상북도', '포항')"
3081,"('경상북도', '포항')","('경기도', '안산')"
3082,"('경기도', '안산')","('전라남도', '완도')"
3083,"('전라남도', '완도')","('경기도', '안산')"
3084,"('경기도', '안산')","('전라남도', '보성')"
3085,"('전라남도', '보성')","('경기도', '안산')"
3086,"('경기도', '안산')","('전라남도', '나주')"
3087,"('전라남도', '나주')","('경기도', '안산')"
3088,"('경기도', '안산')","('충청북도', '청주')"
3089,"('충청북도', '청주')","('경기도', '안산')"
3090,"('경기도', '안산')","('강원도', '속초')"
3091,"('강원도', '속초')","('경기도', '안산')"
3092,"('경기도', '안산')","('경기도', '용인')"
3093,"('경기도', '용인')","('경기도', '안산')"
3094,"('경기도', '안산')","('전라남도', '순천')"
3095,"('전라남도', '순천')","('경기도', '안산')"
3096,"('경기도', '안산')","('경상북도', '구미')"
3097,"('경상북도', '구미')","('경기도', '안산')"
3098,"('경기도', '안산')","('충청남도', '보령')"
