,terminalId,terminalNm,city
287,NAI1209101,신일유토빌A(별내),경기도
288,NAI1210201,KCC(별내),경기도
289,NAI1210801,신일유토빌,경기도
290,NAI1211301,별내역,경기도
291,NAI1212101,극동아파트(퇴계원),경기도
292,NAI1212601,퇴계원면사무소,경기도
293,NAI1214301,현대아이파크,경기도
294,NAI1216901,천마산휴게소,경기도
295,NAI1217901,마석,경기도
296,NAI1217902,원병원(마석),경기도
297,NAI1220401,덕소,경기도
298,NAI1221701,평내,경기도
299,NAI1223201,남양주,경기도
300,NAI1223501,금곡(남양주),경기도
301,NAI1224501,삼패리,경기도
302,NAI1224801,롯데캐슬(다산지구),경기도
303,NAI1225901,도농역,경기도
304,NAI1226901,동막,경기도
305,NAI1227601,와부터미널,경기도
306,NAI1227701,팔당,경기도
307,NAI1228001,송촌(시내),경기도
308,NAI1228201,조안리,경기도
309,NAI1228202,고랭이마을(시내),경기도
310,NAI1228301,능내,경기도
311,NAI1240701,현암농경박물관,경기도
312,NAI1241901,레일바이크,경기도
313,NAI1242001,가평,경기도
314,NAI1242101,자라섬,경기도
315,NAI1242301,가평역,경기도
316,NAI1243001,복장리,경기도
317,NAI1243701,현리공용,경기도
318,NAI1244001,봉수리,경기도
319,NAI1244101,율길리,경기도
320,NAI1244201,원흥리,경기도
321,NAI1244202,태봉리,경기도
322,NAI1244401,연하리,경기도
323,NAI1244501,항사리,경기도
324,NAI1244601,덕현리,경기도
325,NAI1244602,밤나무골,경기도
326,NAI1244701,임초리,경기도
327,NAI1244801,아침고요수목원,경기도
328,NAI1244901,청평,경기도
329,NAI1244902,초옥동,경기도
330,NAI1245301,청평역,경기도
331,NAI1245601,쁘띠프랑스,경기도
332,NAI1245701,대성리,경기도
333,NAI1246101,국제청심병원,경기도
334,NAI1246501,설악,경기도
335,NAI1246601,울업,경기도
336,NAI1246701,인내,경기도
337,NAI1246702,명장입구,경기도
338,NAI1246901,천안리,경기도
339,NAI1246902,한우재,경기도
340,NAI1247201,전위골,경기도
341,NAI1247202,방일리,경기도
342,NAI1247301,유명산정상,경기도
343,NAI1247302,가일1리,경기도
344,NAI1250101,정배리(시내),경기도
345,NAI1250201,문호리(시내),경기도
346,NAI1250401,중미산(시내),경기도
347,NAI1250501,중미산휴양림,경기도
348,NAI1250502,신복1리(시내),경기도
349,NAI1250503,신복2리(시내),경기도
350,NAI1250504,신복3리(시내),경기도
351,NAI1250505,양현휴양림(시내),경기도
352,NAI1250601,용천리(시내),경기도
353,NAI1250702,백현리(시내),경기도
354,NAI1250801,아신,경기도
355,NAI1250802,신학대,경기도
356,NAI1250803,신학대(시내),경기도
357,NAI1250805,한강환경청(시내),경기도
358,NAI1251301,광탄,경기도
359,NAI1251302,금곡리,경기도
360,NAI1251801,삼성(시내),경기도
361,NAI1251802,호텔(시내),경기도
362,NAI1251804,삼성,경기도
363,NAI1252101,용문,경기도
364,NAI1252102,점말.금(시내),경기도
365,NAI1252401,마룡리(시내),경기도
366,NAI1252502,석산.섬(시내),경기도
367,NAI1252601,통골(시내),경기도
368,NAI1252602,명성리(시내),경기도
369,NAI1252701,산음리(시내),경기도
370,NAI1252801,덕수다리(시내),경기도
371,NAI1252802,부안(시내),경기도
372,NAI1252803,향소리(시내),경기도
373,NAI1252901,봉상,경기도
374,NAI1252902,단월(양평),경기도
375,NAI1252903,수미(시내),경기도
376,NAI1252904,보룡리(시내),경기도
377,NAI1252905,고복(시내),경기도
378,NAI1252906,이늪(시내),경기도
379,NAI1252907,삼가리(시내),경기도
380,NAI1012501,고촌,경기도
381,NAI1021401,송포농협,경기도
382,NAI1021801,양우아파트,경기도
383,NAI1023801,덕이이마트.서울도시가스,경기도
384,NAI1026501,대자동,경기도
385,NAI1027001,푸른마을입구,경기도
386,NAI1027101,1군단,경기도
387,NAI1027301,푸른마을,경기도
388,NAI1027302,고양동,경기도
389,NAI1029001,원당,경기도
390,NAI1029401,성사고교,경기도
391,NAI1029801,원릉역,경기도
392,NAI1029901,식사지구,경기도
393,NAI1030101,풍3동,경기도
394,NAI1030401,풍동,경기도
395,NAI1031001,일산가구공단,경기도
396,NAI1032601,동국대병원,경기도
397,NAI1035001,일산시장,경기도
398,NAI1035401,산들대림아파트,경기도
399,NAI1035501,중산지구(10단지),경기도
400,NAI1035502,안곡중학교,경기도
401,NAI1036301,일산경찰서,경기도
402,NAI1036501,노인복지회관(승리교회),경기도
403,NAI1037401,탄현이마트,경기도
404,NAI1038001,제2킨텍스,경기도
405,NAI1038002,일산백병원,경기도
406,NAI1038003,대화동차고지,경기도
407,NAI1038004,일산서구청,경기도
408,NAI1038101,대화역,경기도
409,NAI1038501,강선마을,경기도
410,NAI1038502,문촌마을,경기도
411,NAI1038601,일산노인복지관,경기도
412,NAI1038701,주엽역,경기도
413,NAI1039001,제1킨텍스,경기도
414,NAI1039201,대화동,경기도
415,NAI1039301,엠블호텔,경기도
416,NAI1040101,호수공원(일산),경기도
417,NAI1040901,일산동구청,경기도
